车型,发动机类型,燃油类型,变速箱类型,排量(L),整备质量(kg),马力(hp),路况类型,交通状况,天气状况,环境温度(℃),驾驶风格,平均车速(km/h),车速波动,加速强度,刹车频率,定速巡航占比,海拔变化(m),胎压(bar),空调使用,乘客人数,行李重量(kg),纵向加速度均值(m/s²),纵向加速度标准差(m/s²),横向加速度均值(m/s²),横向加速度标准差(m/s²),急加速事件次数,急刹车事件次数,急变道事件次数,加减速切换频率(次/小时),怠速时间占比,大油门持续占比,加速度变化率均值(m/s³),百公里油耗(L)
轿车,混动,柴油,手动,2.4,1694.0,153.0,山区公路,严重拥堵,雪天,36.3,温和,67.7,8.7,0.19,0.41,0.02,358.0,2.3,0,1,129.0,1.109,0.149,0.435,0.187,2,0,1,5.7,0.269,0.049,0.323,18.41
跑车,混动,柴油,CVT,1.8,2499.0,117.0,乡村公路,拥堵,雨天,21.9,标准,30.9,22.9,0.54,0.6,0.73,459.0,2.8,1,5,131.0,0.644,0.857,1.286,0.113,5,0,0,6.9,0.241,0.077,0.823,25.0
皮卡,涡轮增压,汽油,CVT,3.0,1411.0,140.0,高速公路,畅通,雪天,24.8,标准,83.5,35.8,0.72,0.16,0.63,451.0,2.8,0,4,176.0,1.411,0.543,0.955,0.172,2,2,0,11.2,0.216,0.022,0.811,19.87
轿车,自然吸气,柴油,自动,1.2,1717.0,179.0,山区公路,严重拥堵,雨天,-2.3,激进,55.6,11.3,0.32,0.38,0.01,161.0,2.9,0,4,74.0,1.691,1.218,1.865,0.148,0,1,1,14.3,0.061,0.115,0.64,22.96
跑车,自然吸气,柴油,双离合,2.8,1656.0,380.0,城市道路,严重拥堵,雪天,0.8,激进,30.2,36.3,0.54,0.69,0.64,123.0,2.5,0,2,142.0,1.521,1.224,0.883,0.124,4,2,0,7.0,0.121,0.105,1.283,25.0
MPV,涡轮增压,柴油,自动,3.6,2194.0,164.0,城市道路,严重拥堵,雪天,4.2,激进,74.5,8.9,0.33,0.74,0.71,139.0,3.0,0,3,104.0,3.419,0.633,1.513,0.739,2,0,0,13.8,0.086,0.086,2.237,25.0
皮卡,插电混动,汽油,手动,1.4,2041.0,365.0,城市道路,拥堵,雨天,25.4,激进,67.1,11.0,0.32,0.54,0.52,61.0,3.0,1,4,50.0,0.49,0.75,2.2,0.126,4,3,1,18.1,0.05,0.004,0.539,24.86
SUV,插电混动,汽油,自动,2.2,1765.0,274.0,高速公路,拥堵,雪天,38.9,温和,54.5,19.4,0.82,0.34,0.25,360.0,2.0,1,3,14.0,0.955,0.083,0.576,0.132,1,0,2,8.9,0.089,0.052,0.716,19.93
SUV,涡轮增压,汽油,手动,2.9,2431.0,168.0,山区公路,缓行,雨天,38.0,标准,52.9,11.7,0.85,0.7,0.22,430.0,2.1,1,2,190.0,2.162,0.824,0.2,0.567,4,2,0,12.5,0.263,0.068,1.099,25.0
MPV,涡轮增压,柴油,手动,2.4,1738.0,226.0,高速公路,缓行,雨天,14.2,温和,117.1,14.8,0.48,0.18,0.38,168.0,2.4,1,4,178.0,0.788,0.219,0.331,0.044,0,1,1,2.6,0.323,0.031,0.79,16.78
MPV,插电混动,柴油,手动,2.9,1610.0,110.0,乡村公路,畅通,雨天,-3.7,激进,110.1,33.7,0.52,0.28,0.26,17.0,2.3,1,3,165.0,2.904,0.661,1.971,0.545,1,3,4,9.8,0.099,0.122,2.153,18.1
轿车,混动,汽油,手动,4.0,1540.0,261.0,城市道路,缓行,雾天,-6.7,温和,40.8,34.9,0.4,0.77,0.58,372.0,2.6,0,1,9.0,0.229,0.43,0.105,0.283,0,0,1,3.9,0.18,0.056,0.339,18.13
MPV,混动,汽油,手动,2.0,1226.0,263.0,高速公路,畅通,雪天,26.4,温和,47.5,23.7,0.57,0.24,0.65,244.0,2.6,0,3,112.0,0.995,0.187,0.54,0.085,1,0,1,5.2,0.284,0.006,0.5,10.72
轿车,插电混动,汽油,CVT,1.4,2385.0,250.0,城市道路,严重拥堵,雾天,-4.4,激进,66.3,25.8,0.46,0.77,0.58,424.0,2.9,1,3,98.0,2.479,0.9,1.484,0.649,2,0,2,20.7,0.062,0.096,0.868,25.0
MPV,混动,汽油,双离合,2.7,2407.0,322.0,高速公路,拥堵,雨天,31.8,标准,95.2,33.1,0.89,0.1,0.44,451.0,2.1,1,5,61.0,0.63,0.793,0.933,0.503,6,2,0,17.1,0.115,0.018,1.668,25.0
MPV,插电混动,柴油,自动,3.4,1866.0,309.0,乡村公路,严重拥堵,雪天,32.1,标准,119.9,13.1,0.32,0.24,0.22,54.0,2.2,0,4,77.0,1.503,0.789,0.298,0.409,3,1,0,13.9,0.217,0.026,1.588,21.43
皮卡,混动,汽油,自动,2.7,1483.0,326.0,城市道路,缓行,雨天,24.0,标准,46.1,25.3,0.3,0.34,0.75,233.0,2.2,1,4,140.0,2.353,0.671,0.795,0.124,1,1,0,5.1,0.078,0.083,0.374,20.36
MPV,混动,汽油,双离合,3.9,1457.0,199.0,高速公路,缓行,晴天,9.4,标准,37.0,35.9,0.13,0.6,0.09,500.0,2.3,0,5,78.0,1.068,0.256,1.323,0.402,1,0,0,14.5,0.137,0.054,0.578,17.45
MPV,涡轮增压,汽油,CVT,3.0,2011.0,332.0,城市道路,拥堵,雾天,2.6,温和,66.8,9.4,0.54,0.28,0.56,328.0,2.9,0,1,179.0,0.872,0.224,0.473,0.12,0,0,0,6.9,0.102,0.005,0.548,25.0
SUV,混动,柴油,自动,2.4,1660.0,366.0,山区公路,严重拥堵,雨天,0.8,温和,72.1,34.2,0.71,0.47,0.67,301.0,2.4,1,1,179.0,0.488,0.08,0.693,0.171,1,1,0,2.7,0.31,0.008,0.373,24.78
MPV,涡轮增压,柴油,手动,2.2,1876.0,390.0,高速公路,严重拥堵,雨天,-5.3,温和,95.2,16.4,0.7,0.34,0.53,90.0,2.4,1,3,40.0,1.017,0.299,0.108,0.133,1,1,1,2.1,0.096,0.017,0.673,22.72
MPV,涡轮增压,汽油,双离合,1.3,2018.0,100.0,山区公路,缓行,雪天,34.3,标准,86.8,38.5,0.8,0.64,0.23,25.0,2.1,1,2,8.0,1.508,0.537,0.369,0.341,2,2,2,9.4,0.121,0.095,1.496,25.0
轿车,插电混动,柴油,CVT,2.5,2435.0,301.0,乡村公路,缓行,雾天,-8.9,标准,51.9,27.5,0.87,0.12,0.16,311.0,2.9,1,4,80.0,1.947,0.692,0.973,0.383,1,2,2,16.8,0.155,0.09,1.728,21.98
跑车,自然吸气,柴油,自动,2.7,2035.0,197.0,山区公路,缓行,晴天,29.8,激进,86.1,8.4,0.3,0.68,0.39,45.0,2.8,1,5,26.0,2.249,0.98,0.695,0.824,5,0,2,21.5,0.169,0.104,1.69,25.0
MPV,自然吸气,柴油,双离合,3.2,2143.0,165.0,乡村公路,缓行,雨天,31.9,标准,89.3,33.6,0.19,0.66,0.78,304.0,2.6,1,1,0.0,1.482,0.859,0.992,0.399,3,3,4,14.8,0.266,0.091,0.865,22.55
跑车,自然吸气,柴油,手动,2.7,2292.0,353.0,乡村公路,畅通,雪天,39.1,标准,88.4,16.4,0.77,0.22,0.59,497.0,2.2,0,3,173.0,0.417,0.537,0.29,0.469,1,1,3,10.8,0.219,0.108,1.196,25.0
MPV,混动,汽油,手动,2.0,1868.0,282.0,城市道路,严重拥堵,雪天,23.7,激进,117.2,8.3,0.8,0.47,0.01,292.0,2.3,1,5,75.0,2.855,0.694,0.291,0.12,0,1,2,26.8,0.157,0.112,0.663,25.0
皮卡,自然吸气,汽油,手动,3.6,1328.0,167.0,乡村公路,畅通,晴天,-1.6,标准,69.2,8.6,0.45,0.34,0.19,238.0,2.1,1,2,154.0,1.186,0.23,1.335,0.547,0,0,3,4.4,0.243,0.09,0.987,20.12
跑车,插电混动,汽油,自动,3.3,1218.0,220.0,城市道路,缓行,雾天,34.6,激进,111.8,28.7,0.14,0.8,0.79,231.0,2.4,0,3,56.0,3.526,1.096,1.196,0.449,2,0,3,7.3,0.055,0.102,1.034,22.88
皮卡,涡轮增压,柴油,CVT,2.8,1858.0,219.0,高速公路,畅通,雾天,3.8,温和,22.8,33.6,0.15,0.56,0.29,364.0,2.4,0,1,196.0,0.558,0.299,0.716,0.222,0,0,0,4.6,0.166,0.034,0.75,18.37
皮卡,插电混动,柴油,CVT,3.1,1870.0,286.0,城市道路,拥堵,雪天,6.6,温和,90.7,21.2,0.42,0.71,0.69,355.0,2.7,0,4,87.0,0.881,0.142,0.064,0.064,1,0,1,8.0,0.209,0.059,0.383,23.0
跑车,涡轮增压,汽油,手动,3.5,1872.0,172.0,乡村公路,严重拥堵,晴天,-9.2,激进,105.9,24.5,0.74,0.54,0.06,303.0,2.7,0,2,57.0,1.87,0.334,0.448,0.651,1,2,4,9.2,0.042,0.135,1.045,25.0
SUV,插电混动,汽油,CVT,2.8,1476.0,292.0,城市道路,严重拥堵,雨天,37.1,温和,92.3,8.6,0.83,0.7,0.77,88.0,3.0,1,3,78.0,0.25,0.409,0.183,0.133,1,1,0,4.1,0.144,0.06,0.795,20.6
跑车,涡轮增压,汽油,CVT,3.5,1699.0,265.0,高速公路,缓行,晴天,34.5,温和,26.5,11.4,0.89,0.4,0.39,279.0,2.9,0,3,152.0,0.748,0.273,0.444,0.249,1,2,0,2.3,0.108,0.034,0.232,22.43
皮卡,混动,汽油,手动,2.5,1627.0,285.0,城市道路,严重拥堵,雨天,8.2,温和,30.2,29.6,0.82,0.58,0.66,103.0,2.9,1,4,54.0,0.788,0.288,0.425,0.222,1,1,1,5.5,0.158,0.035,0.856,25.0
SUV,自然吸气,汽油,手动,3.9,1526.0,157.0,山区公路,严重拥堵,晴天,11.8,激进,93.9,35.9,0.83,0.46,0.36,301.0,2.6,1,5,104.0,1.835,0.34,1.727,0.46,1,2,1,26.5,0.169,0.064,0.496,25.0
SUV,混动,汽油,自动,1.6,2352.0,193.0,乡村公路,拥堵,雪天,13.7,标准,57.5,14.2,0.51,0.51,0.71,347.0,2.3,0,5,0.0,1.554,0.216,1.045,0.543,1,1,0,14.8,0.104,0.01,0.612,22.19
轿车,涡轮增压,汽油,手动,2.0,2172.0,389.0,高速公路,拥堵,雪天,-9.8,标准,48.8,32.1,0.22,0.78,0.16,329.0,2.8,1,2,150.0,0.896,0.183,0.723,0.085,0,2,3,15.7,0.104,0.037,0.957,25.0
MPV,自然吸气,汽油,手动,2.9,2441.0,361.0,乡村公路,畅通,雪天,30.7,标准,47.2,21.8,0.54,0.54,0.55,374.0,2.1,1,4,171.0,0.866,0.374,0.458,0.32,2,2,3,15.1,0.161,0.033,0.876,25.0
MPV,插电混动,汽油,双离合,2.7,2004.0,368.0,山区公路,缓行,雪天,20.6,温和,27.2,17.1,0.29,0.17,0.13,167.0,2.7,0,2,99.0,0.244,0.361,0.416,0.239,0,0,0,3.0,0.207,0.032,0.269,19.31
轿车,混动,柴油,自动,2.1,2305.0,344.0,高速公路,拥堵,晴天,7.0,标准,43.4,34.5,0.33,0.15,0.03,260.0,2.8,0,4,107.0,1.936,0.656,1.48,0.32,1,2,3,16.5,0.099,0.04,0.488,19.72
跑车,混动,柴油,自动,1.5,2116.0,144.0,乡村公路,拥堵,雪天,-6.7,温和,118.8,38.0,0.15,0.65,0.3,404.0,2.6,0,2,143.0,1.039,0.407,0.068,0.232,0,0,0,3.2,0.151,0.016,0.32,22.0
皮卡,插电混动,柴油,手动,3.7,1902.0,255.0,城市道路,缓行,晴天,25.7,激进,112.4,35.7,0.12,0.53,0.49,462.0,2.4,1,4,11.0,0.72,0.725,2.216,0.893,3,3,1,10.8,0.151,0.007,2.149,24.57
皮卡,涡轮增压,柴油,CVT,2.5,1552.0,240.0,高速公路,严重拥堵,雨天,15.6,激进,65.1,39.1,0.66,0.39,0.75,460.0,2.9,1,3,123.0,2.744,0.726,1.472,0.408,1,2,2,12.2,0.031,0.134,2.523,25.0
MPV,自然吸气,汽油,自动,1.5,1659.0,128.0,山区公路,严重拥堵,雾天,-4.0,标准,47.1,21.8,0.83,0.25,0.55,354.0,3.0,0,1,34.0,0.418,0.875,0.639,0.215,1,2,0,9.8,0.257,0.019,0.401,24.11
跑车,涡轮增压,汽油,自动,2.1,2378.0,211.0,山区公路,缓行,雪天,11.2,标准,92.3,6.3,0.37,0.51,0.41,276.0,2.6,1,1,165.0,0.47,0.423,1.116,0.487,2,1,2,15.1,0.073,0.106,0.49,25.0
轿车,混动,汽油,自动,2.3,2402.0,260.0,乡村公路,严重拥堵,雪天,26.5,标准,35.7,29.8,0.8,0.75,0.32,407.0,2.9,0,4,148.0,2.079,0.445,0.789,0.172,1,0,3,17.0,0.188,0.026,0.948,25.0
SUV,混动,汽油,双离合,3.6,2402.0,374.0,乡村公路,严重拥堵,雨天,13.3,标准,24.2,27.6,0.5,0.41,0.06,191.0,2.3,0,2,156.0,0.731,0.412,0.83,0.349,0,0,1,12.7,0.206,0.095,0.44,25.0
SUV,混动,汽油,双离合,1.1,2012.0,145.0,乡村公路,畅通,雨天,11.1,温和,38.9,20.1,0.19,0.54,0.62,303.0,2.8,1,3,162.0,1.105,0.413,0.618,0.183,0,1,0,7.0,0.183,0.022,0.756,14.46
皮卡,自然吸气,汽油,自动,1.9,1550.0,171.0,高速公路,拥堵,雾天,13.3,温和,45.3,24.7,0.75,0.77,0.01,112.0,3.0,1,1,173.0,0.483,0.193,0.079,0.226,1,1,0,4.6,0.238,0.034,0.693,21.01
MPV,插电混动,柴油,手动,1.4,1456.0,203.0,乡村公路,缓行,雨天,28.5,温和,113.9,29.4,0.44,0.21,0.59,213.0,2.8,0,1,117.0,1.005,0.286,0.409,0.237,1,0,2,5.5,0.326,0.033,0.716,10.7
轿车,混动,汽油,手动,3.2,1314.0,210.0,高速公路,缓行,雪天,11.7,温和,119.0,12.5,0.39,0.78,0.26,412.0,2.9,0,2,120.0,1.17,0.103,0.247,0.192,0,2,1,6.3,0.19,0.045,0.38,12.84
跑车,插电混动,汽油,手动,1.9,1979.0,271.0,乡村公路,拥堵,雨天,7.7,标准,78.3,21.3,0.58,0.3,0.36,79.0,2.7,0,2,113.0,0.375,0.671,0.943,0.271,1,2,0,12.6,0.241,0.014,1.645,22.63
轿车,混动,柴油,双离合,3.5,1818.0,216.0,高速公路,缓行,雾天,16.0,标准,43.5,7.1,0.32,0.67,0.39,22.0,2.7,1,2,151.0,2.088,0.682,0.131,0.285,1,1,1,18.0,0.111,0.059,1.721,15.51
皮卡,混动,柴油,CVT,2.9,2005.0,329.0,乡村公路,畅通,雾天,25.2,激进,33.6,30.0,0.23,0.4,0.73,80.0,2.6,0,2,146.0,3.307,1.124,1.307,0.257,1,2,1,24.5,0.135,0.048,2.654,22.18
MPV,混动,柴油,双离合,2.3,1436.0,306.0,乡村公路,缓行,雨天,8.5,激进,36.4,36.2,0.84,0.15,0.38,32.0,2.7,1,4,73.0,3.385,0.454,0.553,0.619,1,2,2,6.5,0.132,0.02,1.541,20.57
SUV,插电混动,柴油,双离合,1.6,2267.0,364.0,乡村公路,缓行,雨天,12.0,温和,94.0,39.8,0.16,0.15,0.5,165.0,2.7,0,4,181.0,0.4,0.129,0.578,0.259,1,1,0,4.5,0.064,0.06,0.282,17.15
皮卡,插电混动,汽油,手动,3.0,1488.0,111.0,高速公路,拥堵,雨天,-1.5,激进,118.9,5.2,0.59,0.62,0.45,384.0,2.0,0,1,107.0,1.817,1.077,0.306,0.133,4,3,0,12.7,0.039,0.087,0.573,20.37
MPV,混动,汽油,双离合,2.8,1596.0,365.0,山区公路,缓行,雪天,-4.9,激进,69.2,31.2,0.63,0.59,0.41,499.0,2.5,1,1,73.0,1.582,1.063,0.195,0.402,3,2,0,15.8,0.156,0.025,2.36,25.0
MPV,混动,汽油,CVT,3.1,1927.0,234.0,城市道路,拥堵,晴天,12.6,标准,61.9,30.4,0.48,0.56,0.03,470.0,2.9,1,4,126.0,1.688,0.273,0.218,0.177,1,2,0,15.9,0.193,0.011,0.578,25.0
皮卡,混动,汽油,CVT,1.4,1830.0,312.0,高速公路,严重拥堵,雾天,32.5,激进,72.7,21.5,0.18,0.46,0.06,7.0,2.9,0,4,0.0,2.477,0.451,1.141,0.503,2,2,0,6.2,0.043,0.12,0.686,22.54
MPV,涡轮增压,柴油,CVT,1.6,1625.0,298.0,城市道路,缓行,雨天,25.5,标准,82.1,35.8,0.21,0.22,0.19,152.0,2.5,1,2,107.0,0.906,0.698,0.758,0.313,1,1,2,3.4,0.054,0.115,0.536,20.19
跑车,涡轮增压,汽油,手动,3.1,1229.0,305.0,乡村公路,拥堵,雾天,35.0,标准,42.8,12.9,0.45,0.4,0.42,364.0,2.5,1,5,119.0,1.338,0.122,1.26,0.457,4,1,1,12.0,0.161,0.008,1.721,25.0
SUV,涡轮增压,汽油,手动,3.6,1963.0,247.0,城市道路,拥堵,雾天,34.6,标准,53.3,11.1,0.73,0.46,0.54,148.0,3.0,1,5,132.0,2.094,0.303,1.462,0.183,2,2,0,7.8,0.099,0.108,0.744,25.0
皮卡,插电混动,柴油,CVT,3.6,1448.0,155.0,乡村公路,严重拥堵,晴天,23.6,温和,103.8,11.0,0.5,0.44,0.01,304.0,2.2,0,2,115.0,0.301,0.349,0.43,0.141,2,0,0,8.6,0.115,0.003,0.301,17.2
MPV,混动,汽油,双离合,3.3,1868.0,390.0,乡村公路,严重拥堵,雾天,19.5,激进,101.2,11.9,0.4,0.67,0.59,165.0,2.6,0,5,176.0,0.516,0.483,1.652,0.615,4,3,0,21.3,0.171,0.018,1.98,25.0
跑车,涡轮增压,柴油,自动,2.9,1397.0,327.0,高速公路,畅通,雪天,-9.6,激进,53.8,26.1,0.42,0.23,0.11,196.0,3.0,1,2,57.0,2.578,0.85,1.693,0.761,4,2,1,24.4,0.178,0.063,0.711,25.0
MPV,涡轮增压,汽油,双离合,1.8,1745.0,352.0,高速公路,畅通,晴天,12.4,激进,116.8,30.2,0.85,0.23,0.74,289.0,2.5,1,4,191.0,1.601,0.362,1.405,0.18,1,2,3,25.2,0.084,0.069,2.019,22.79
MPV,混动,柴油,手动,3.4,2275.0,114.0,山区公路,严重拥堵,雨天,19.0,温和,67.0,28.1,0.3,0.56,0.14,5.0,2.1,1,1,90.0,0.606,0.431,0.143,0.165,1,2,0,7.9,0.115,0.037,0.574,24.24
跑车,自然吸气,汽油,自动,3.1,2147.0,279.0,山区公路,拥堵,雪天,29.3,温和,97.0,13.0,0.8,0.74,0.18,495.0,2.1,1,5,77.0,0.158,0.236,0.535,0.128,0,1,2,7.8,0.323,0.009,0.587,25.0
皮卡,自然吸气,柴油,双离合,1.6,1326.0,275.0,城市道路,畅通,雪天,13.6,温和,68.2,38.9,0.44,0.2,0.3,24.0,3.0,1,1,139.0,0.552,0.413,0.266,0.167,2,3,0,7.2,0.286,0.002,0.544,18.38
MPV,混动,汽油,手动,2.3,1519.0,116.0,城市道路,拥堵,雪天,5.5,激进,81.8,19.8,0.12,0.79,0.8,459.0,2.7,0,4,160.0,0.944,0.747,1.707,0.332,1,2,1,24.3,0.127,0.132,1.898,23.03
MPV,涡轮增压,柴油,双离合,2.2,1989.0,109.0,城市道路,拥堵,雨天,33.7,温和,100.8,36.1,0.13,0.49,0.75,236.0,2.2,1,1,17.0,1.042,0.244,0.292,0.179,1,0,1,6.1,0.238,0.021,0.866,20.85
MPV,混动,汽油,自动,3.8,2120.0,219.0,高速公路,缓行,雪天,4.4,激进,48.4,38.8,0.4,0.34,0.76,135.0,2.4,1,1,189.0,0.96,0.901,1.486,0.681,2,2,3,9.5,0.134,0.177,2.322,24.58
跑车,自然吸气,汽油,CVT,1.4,1839.0,244.0,高速公路,拥堵,雾天,22.1,激进,63.3,19.3,0.11,0.17,0.18,194.0,2.1,0,1,157.0,1.882,0.309,1.688,0.091,6,1,1,15.2,0.114,0.112,1.129,24.76
跑车,自然吸气,汽油,双离合,3.9,2394.0,241.0,城市道路,拥堵,雨天,33.0,标准,107.1,18.6,0.18,0.22,0.62,132.0,2.9,0,1,43.0,0.317,0.435,0.131,0.195,2,0,1,6.6,0.2,0.039,1.043,25.0
SUV,混动,柴油,手动,2.7,1317.0,378.0,山区公路,缓行,雾天,24.0,温和,117.4,9.8,0.24,0.46,0.22,130.0,2.8,1,1,98.0,0.42,0.411,0.545,0.21,2,1,0,2.4,0.113,0.033,0.348,16.38
跑车,自然吸气,汽油,CVT,3.8,1455.0,266.0,山区公路,严重拥堵,雾天,-4.8,温和,62.1,24.6,0.49,0.28,0.76,62.0,2.9,0,5,85.0,0.615,0.151,0.42,0.091,1,0,0,8.0,0.071,0.033,0.248,25.0
MPV,插电混动,汽油,手动,2.1,1602.0,175.0,高速公路,拥堵,雪天,29.8,激进,38.9,13.4,0.13,0.35,0.04,309.0,2.2,1,3,161.0,0.617,0.678,1.927,0.66,2,1,1,6.4,0.088,0.055,0.75,18.81
SUV,涡轮增压,汽油,手动,2.5,1395.0,367.0,乡村公路,拥堵,雾天,10.3,标准,119.5,10.4,0.21,0.44,0.78,223.0,3.0,1,3,91.0,1.976,0.46,1.087,0.557,3,0,0,5.2,0.051,0.045,1.789,22.91
跑车,混动,汽油,CVT,2.4,1429.0,205.0,高速公路,畅通,雨天,-9.0,温和,42.3,24.3,0.47,0.7,0.17,287.0,2.8,1,1,112.0,0.217,0.378,0.103,0.146,1,0,0,5.6,0.207,0.051,0.822,16.72
MPV,涡轮增压,柴油,自动,2.0,2370.0,218.0,城市道路,严重拥堵,雨天,-4.1,标准,98.0,25.4,0.75,0.53,0.64,290.0,2.8,0,3,139.0,1.931,0.195,1.072,0.479,3,1,0,8.8,0.119,0.087,0.751,25.0
SUV,插电混动,柴油,自动,2.7,2024.0,381.0,高速公路,严重拥堵,晴天,-6.0,温和,22.9,15.8,0.26,0.58,0.38,269.0,2.6,1,1,60.0,0.963,0.202,0.085,0.047,0,0,1,7.3,0.226,0.018,0.342,20.0
MPV,插电混动,汽油,CVT,2.0,1604.0,277.0,山区公路,缓行,雪天,-7.8,标准,98.4,12.8,0.73,0.13,0.25,173.0,2.5,1,5,11.0,1.668,0.631,0.368,0.103,0,0,2,10.3,0.181,0.114,1.586,20.46
皮卡,自然吸气,汽油,CVT,3.3,2459.0,155.0,山区公路,拥堵,雾天,36.8,温和,82.2,36.4,0.4,0.36,0.08,171.0,2.8,1,5,47.0,1.16,0.101,0.745,0.155,0,0,1,8.8,0.341,0.05,0.347,25.0
跑车,混动,汽油,双离合,3.5,2149.0,369.0,乡村公路,严重拥堵,晴天,34.9,温和,66.4,12.9,0.78,0.53,0.39,313.0,2.1,1,5,40.0,0.277,0.291,0.181,0.049,1,1,0,8.0,0.246,0.036,0.812,25.0
MPV,插电混动,柴油,自动,2.0,1386.0,331.0,山区公路,拥堵,雨天,-8.6,激进,105.2,18.5,0.8,0.6,0.73,418.0,2.3,1,5,130.0,3.023,1.192,1.754,0.178,0,2,2,26.8,0.097,0.06,1.826,25.0
皮卡,混动,汽油,双离合,3.6,2449.0,262.0,高速公路,畅通,雨天,-3.1,激进,61.5,16.0,0.5,0.64,0.03,374.0,2.8,0,5,16.0,0.901,1.002,1.494,0.312,4,1,1,16.4,0.127,0.058,2.018,25.0
跑车,涡轮增压,汽油,双离合,1.8,1449.0,395.0,山区公路,畅通,雨天,12.4,激进,107.3,28.1,0.54,0.31,0.51,141.0,2.6,0,3,48.0,2.374,0.464,0.489,0.739,3,1,0,6.3,0.097,0.032,2.148,25.0
皮卡,混动,汽油,手动,3.9,1807.0,278.0,高速公路,严重拥堵,雨天,20.7,标准,53.9,19.6,0.6,0.48,0.25,125.0,2.9,0,4,9.0,0.474,0.282,1.06,0.102,2,3,1,5.6,0.265,0.087,0.656,23.98
轿车,插电混动,汽油,CVT,2.2,2120.0,202.0,山区公路,拥堵,晴天,4.2,标准,62.0,39.9,0.88,0.17,0.45,105.0,2.7,1,1,149.0,0.979,0.556,1.028,0.342,0,0,0,8.8,0.143,0.039,1.156,21.88
SUV,自然吸气,柴油,双离合,1.3,2487.0,220.0,山区公路,拥堵,雪天,14.2,标准,24.5,31.0,0.27,0.13,0.19,13.0,2.1,1,4,174.0,1.834,0.811,0.56,0.523,1,4,3,16.0,0.251,0.009,1.184,25.0
皮卡,涡轮增压,柴油,手动,2.0,1808.0,219.0,高速公路,严重拥堵,雨天,-9.0,激进,114.6,34.6,0.57,0.35,0.16,158.0,2.2,0,5,18.0,2.419,0.685,0.557,0.562,5,5,1,20.0,0.101,0.099,2.459,25.0
SUV,涡轮增压,汽油,手动,3.1,1804.0,350.0,高速公路,畅通,雪天,22.9,温和,51.8,36.3,0.19,0.74,0.49,431.0,2.9,0,2,151.0,0.187,0.133,0.36,0.272,1,1,0,2.3,0.089,0.056,0.436,20.09
皮卡,涡轮增压,汽油,手动,2.2,2214.0,239.0,乡村公路,严重拥堵,雨天,-4.4,标准,72.0,35.7,0.71,0.65,0.51,81.0,2.7,0,2,148.0,1.258,0.401,1.36,0.248,2,3,1,10.2,0.208,0.077,0.736,25.0
SUV,涡轮增压,柴油,双离合,1.7,2329.0,355.0,山区公路,缓行,雾天,10.6,激进,60.2,35.3,0.49,0.69,0.15,383.0,2.5,1,5,111.0,2.588,0.304,0.7,0.674,0,1,4,20.0,0.137,0.174,2.692,25.0
轿车,自然吸气,汽油,手动,3.3,1644.0,154.0,高速公路,缓行,雨天,26.4,温和,81.0,29.9,0.42,0.8,0.24,117.0,2.0,0,2,105.0,0.552,0.097,0.316,0.183,2,2,0,2.5,0.082,0.055,0.207,16.01
皮卡,自然吸气,柴油,手动,2.5,2492.0,215.0,乡村公路,严重拥堵,雪天,33.5,激进,47.2,36.7,0.49,0.63,0.36,244.0,2.9,1,1,47.0,2.232,1.296,2.111,0.811,6,1,0,18.9,0.059,0.033,1.134,25.0
皮卡,混动,汽油,自动,1.0,1774.0,298.0,城市道路,缓行,雨天,34.3,激进,38.8,10.2,0.82,0.67,0.2,417.0,2.1,0,4,150.0,2.099,1.031,1.654,0.465,0,3,1,22.4,0.141,0.105,1.611,25.0
跑车,插电混动,柴油,自动,2.9,1995.0,162.0,高速公路,缓行,雾天,-4.3,激进,36.2,13.9,0.39,0.7,0.09,335.0,2.4,0,2,79.0,2.707,1.223,1.503,0.822,5,4,1,21.5,0.14,0.142,0.455,23.76
跑车,自然吸气,汽油,双离合,1.0,2257.0,363.0,高速公路,缓行,雨天,26.1,温和,105.6,5.1,0.12,0.62,0.71,33.0,2.6,1,2,84.0,0.908,0.392,0.593,0.192,0,0,0,4.1,0.198,0.019,0.488,20.12
皮卡,自然吸气,柴油,双离合,4.0,1714.0,205.0,城市道路,拥堵,雾天,19.6,激进,66.9,30.0,0.8,0.36,0.61,22.0,2.8,0,5,36.0,2.346,1.304,0.472,0.792,6,2,2,10.2,0.094,0.064,2.589,25.0
MPV,混动,柴油,手动,2.5,1267.0,377.0,城市道路,拥堵,晴天,34.1,激进,49.8,16.4,0.48,0.28,0.21,432.0,2.1,0,1,42.0,2.09,1.344,2.147,0.692,3,4,1,21.8,0.171,0.048,0.483,22.78
皮卡,混动,汽油,双离合,3.4,1601.0,146.0,高速公路,缓行,雨天,25.4,温和,32.2,6.4,0.86,0.58,0.33,359.0,2.8,1,5,53.0,0.992,0.108,0.244,0.278,0,1,0,4.8,0.07,0.02,0.235,17.07
跑车,涡轮增压,汽油,手动,2.3,2456.0,318.0,城市道路,畅通,晴天,34.7,激进,73.9,24.8,0.65,0.57,0.79,492.0,2.7,0,4,111.0,0.776,1.344,1.845,0.713,2,3,0,17.7,0.098,0.034,1.122,25.0
SUV,涡轮增压,汽油,双离合,3.8,2156.0,373.0,高速公路,严重拥堵,雪天,-3.1,激进,53.7,14.8,0.31,0.47,0.52,371.0,2.3,0,1,72.0,0.547,1.02,0.491,0.41,3,0,1,11.2,0.08,0.116,0.795,25.0
